emp_id,project_id,hours
101,P1,120
103,P1,90
106,P4,60
102,P2,100
105,P2,80
104,P3,75
981,P1,54
5727,P2,100
4380,P3,113
4443,P4,97
4185,P5,71
4782,P6,123
8452,P7,99
2333,P8,159
4451,P9,140
4789,P10,83
7557,P11,11
4797,P12,40
5202,P13,105
678,P14,94
6419,P15,64
3309,P16,133
762,P17,119
9986,P18,95
1836,P19,26
8662,P20,36
9776,P21,110
2077,P22,60
8863,P23,122
6064,P24,99
5437,P25,154
4678,P26,51
3020,P27,157
8694,P28,36
3229,P29,73
2587,P30,83
1355,P31,127
7670,P32,32
1427,P33,143
196,P34,37
6284,P35,123
7650,P36,85
3274,P37,107
946,P38,77
9038,P39,10
9818,P40,143
5537,P41,49
7285,P42,35
4332,P43,67
6910,P44,156
4546,P45,130
4244,P46,62
5110,P47,132
6497,P48,142
8837,P49,159
3578,P50,139
6948,P51,30
6506,P52,33
8726,P53,133
7627,P54,108
5132,P55,90
8678,P56,24
8942,P57,84
3198,P58,30
6888,P59,91
2764,P60,27
7425,P61,154
695,P62,17
5364,P63,59
1162,P64,44
6980,P65,15
6171,P66,91
8130,P67,86
1118,P68,45
8809,P69,87
5606,P70,104
8911,P71,123
7038,P72,156
5360,P73,105
9362,P74,34
2895,P75,116
8552,P12,68
670,P64,142
4062,P58,63
1890,P67,71
5811,P75,88
1888,P22,70
4388,P42,159
2926,P26,55
6159,P67,24
3068,P37,98
5331,P64,29
1766,P50,55
7723,P35,63
5555,P14,82
9881,P17,141
6845,P26,44
8224,P8,49
3468,P13,128
4302,P5,43
8697,P10,21
6332,P1,134
6455,P30,85
4586,P27,63
4685,P54,10
3074,P49,63
4125,P47,111
4651,P10,113
3037,P71,136
719,P22,94
2570,P13,102
1545,P35,68
5851,P13,131
2242,P26,107
8413,P47,21
4413,P40,147
6059,P22,109
941,P19,72
5570,P37,130
2620,P22,75
683,P41,102
3986,P6,113
1360,P15,67
379,P1,78
6090,P68,44
7855,P47,52
3317,P35,23
8400,P63,19
6229,P54,153
3795,P29,95
6097,P46,112
4030,P66,104
9768,P72,26
8715,P20,152
4371,P27,154
7289,P39,145
6483,P75,153
794,P6,98
5992,P63,63
3417,P68,10
7651,P17,113
6463,P1,157
4834,P2,87
4227,P59,104
530,P14,126
5255,P2,95
6857,P51,98
5396,P67,19
6617,P42,146
6603,P64,44
2784,P26,53
4843,P24,20
4230,P31,14
1104,P52,71
1150,P74,36
710,P55,154
7790,P13,73
6356,P31,97
9795,P11,33
5036,P19,22
2623,P71,111
1883,P18,46
3644,P21,151
6837,P16,79
133,P17,83
5505,P39,44
2487,P34,49
2899,P37,71
467,P20,69
2255,P8,13
547,P13,58
2221,P58,144
9990,P22,149
2740,P34,70
5555,P8,160
8101,P73,34
3923,P43,68
2751,P42,107
2010,P63,115
3112,P36,142
4603,P53,134
6258,P37,24
